layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00017577    0.360469    0.031300  2225736733       8
ds_blocks.0.depthwise                    0.05321522    0.031300    0.058001  3946845520       5
ds_blocks.0.pointwise                    0.01005237    0.058001    0.044819  3575870294       6
ds_blocks.1.depthwise                    0.01601829    0.044819    0.057507  3431633010       6
ds_blocks.1.pointwise                    0.00782972    0.057507    0.044969  2752296283       6
ds_blocks.2.depthwise                    0.01027665    0.044969    0.054291  2339789367       6
ds_blocks.2.pointwise                    0.00738833    0.054291    0.054827  4022031185       7
ds_blocks.3.depthwise                    0.01101946    0.054827    0.078363  4238526450       7
ds_blocks.3.pointwise                    0.02807418    0.078363    0.219584  2753968473       6
classifier                               0.01296839    0.219584    1.063502  2944064015       8
