layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00017880    0.362807    0.033764  4224864751       9
ds_blocks.0.depthwise                    0.02794516    0.033764    0.069958  3707284292       6
ds_blocks.0.pointwise                    0.00963994    0.069958    0.065038  2850260416       6
ds_blocks.1.depthwise                    0.03021809    0.065038    0.074409  3630132651       5
ds_blocks.1.pointwise                    0.00710650    0.074409    0.051413  2827132065       6
ds_blocks.2.depthwise                    0.01328567    0.051413    0.061319  3061994716       6
ds_blocks.2.pointwise                    0.01155702    0.061319    0.053063  3671045609       6
ds_blocks.3.depthwise                    0.01811802    0.053063    0.102049  2589585830       6
ds_blocks.3.pointwise                    0.04669511    0.102049    0.371445  3526345163       6
classifier                               0.01508751    0.371445    2.586530  2382291395       8
