layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00045407    0.070994    0.014842  2388036482       8
ds_blocks.0.depthwise                    0.05273790    0.014842    0.026926  3995479122       5
ds_blocks.0.pointwise                    0.00727926    0.026926    0.017599  3061253740       6
ds_blocks.1.depthwise                    0.02731195    0.017599    0.024818  2661860762       5
ds_blocks.1.pointwise                    0.00694012    0.024818    0.020176  2346668367       6
ds_blocks.2.depthwise                    0.01245603    0.020176    0.028689  2407853960       6
ds_blocks.2.pointwise                    0.00796079    0.028689    0.025600  2452344931       6
ds_blocks.3.depthwise                    0.00862257    0.025600    0.024541  2472393666       6
ds_blocks.3.pointwise                    0.03154902    0.024541    0.083201  2557919590       6
classifier                               0.01043088    0.083201    0.442107  2158355591       8
