layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00060323    0.277471    0.030694  2997943291       7
ds_blocks.0.depthwise                    0.62330317    0.030694    0.061116  2688946502       1
ds_blocks.0.pointwise                    0.00889983    0.061116    0.044791  3337966448       6
ds_blocks.1.depthwise                    0.01705189    0.044791    0.054712  3837320735       6
ds_blocks.1.pointwise                    0.00680385    0.054712    0.048227  4243396272       7
ds_blocks.2.depthwise                    0.01737970    0.048227    0.046158  2495706834       5
ds_blocks.2.pointwise                    0.00708417    0.046158    0.042703  4209686230       7
ds_blocks.3.depthwise                    0.01898526    0.042703    0.070121  3178100314       6
ds_blocks.3.pointwise                    0.03720329    0.070121    0.220354  3254222156       6
classifier                               0.01233735    0.220354    1.158939  2579180460       8
